Ref,Val,Package,PosX,PosY,Rot,Side
"C201","10uF 16V","C_0805_2012Metric",37.909500,62.164000,90.000000,top
"C202","100nF 50V","C_0603_1608Metric",35.242500,61.227000,90.000000,top
"C301","100nF 50V","C_0603_1608Metric",21.767500,28.765500,180.000000,top
"C401","10uF 50V","CP_Elec_5x5.3",50.396500,18.478500,0.000000,top
"C402","10uF 50V","CP_Elec_5x5.3",69.700500,20.764500,0.000000,top
"C403","100nF 50V","C_0603_1608Metric",49.263000,24.447500,180.000000,top
"C404","10uF 50V","CP_Elec_5x5.3",64.643000,40.259000,90.000000,top
"C405","100nF 50V","C_0603_1608Metric",66.688000,29.718000,180.000000,top
"C406","220uF 16V","CP_Elec_6.3x5.8",43.751500,30.637500,270.000000,top
"C407","100nF 50V","C_0603_1608Metric",68.389500,38.811500,270.000000,top
"C409","100nF 50V","C_0603_1608Metric",48.196500,32.525000,90.000000,top
"C410","220uF 16V","CP_Elec_6.3x5.8",37.940000,46.101000,180.000000,top
"C411","100nF 50V","C_0603_1608Metric",45.339000,46.977000,270.000000,top
"C501","100nF 50V","C_0603_1608Metric",86.029500,102.806500,180.000000,top
"C502","10uF 50V","CP_Elec_5x5.3",84.963000,30.775000,90.000000,top
"C601","100nF 50V","C_0603_1608Metric",81.407000,52.210000,90.000000,top
"C602","100nF 50V","C_0603_1608Metric",81.534000,59.766500,90.000000,top
"C603","100nF 50V","C_0603_1608Metric",86.677500,61.925500,90.000000,top
"C604","100nF 50V","C_0603_1608Metric",86.677500,54.686500,90.000000,top
"C701","10uF 16V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",57.823500,52.070000,0.000000,top
"C702","100nF 50V","C_0603_1608Metric",56.782000,54.102000,0.000000,top
"C703","100nF 50V","C_0603_1608Metric",60.706000,66.040000,0.000000,top
"C704","100nF 50V","C_0603_1608Metric",44.640500,57.544000,270.000000,top
"C705","DNA","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",57.531000,75.083500,270.000000,top
"C706","DNA","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",51.689000,75.094000,90.000000,top
"C707","DNA","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.101500,75.094000,270.000000,top
"C708","DNA","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",44.259500,75.094000,90.000000,top
"C709","100nF 50V","C_0603_1608Metric",49.035000,69.850000,180.000000,top
"C710","100nF 50V","C_0603_1608Metric",43.802000,65.024000,180.000000,top
"C711","100nF","C_0603_1608Metric",50.152000,71.437500,180.000000,top
"C712","100nF 50V","C_0603_1608Metric",55.880000,70.752000,90.000000,top
"C801","100nF 50V","C_0603_1608Metric",35.128500,95.377000,0.000000,top
"C901","100nF 50V","C_0603_1608Metric",43.698272,86.990837,270.000000,top
"C902","100nF","C_0603_1608Metric",51.549600,96.672400,180.000000,top
